Catalog / Data Sheet,Part No.,Status,Brand,Core Shape,Size (IEC62317) A x B x C,Dimm. A,Dimm. B,Dimm. C,Feature,Ferrite Material,Material Name,AL Value / (nH / N²),Core Loss / (W / set),Air Gap / mm,Initial Permeability μi,Saturation Magnetic Flux Density Bs / mT,Relative Loss Factor (Max.) (tanδ / μi) 10⁻⁶,Curie Temperature Tc(Min.) / °C
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_14_8_4.pdf,B66219G0000X127 (N27),Production,EPCOS,E(EE),E 14/8/4,14.3,7.8,4.3,For general purpose,Mn-Zn,N27,"860 +30,-20%","0.11 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_32_16_9.pdf,B66229G0000X127 (N27),Production,EPCOS,E(EE),E 32/16/9,32.0,16.4,9.5,For general purpose,Mn-Zn,N27,"2100 +30,-20%","1.1 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_32_16_9.pdf,B66229G0500X127 (N27),Production,EPCOS,E(EE),E 32/16/9,32.0,16.4,9.5,For general purpose,Mn-Zn,N27,244 Nom.,,0.5,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_32_16_9.pdf,B66229G1000X127 (N27),Production,EPCOS,E(EE),E 32/16/9,32.0,16.4,9.5,For general purpose,Mn-Zn,N27,145 Nom.,,1.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_13_7_4.pdf,B66305G0000X127 (N27),Production,EPCOS,E(EE),E 13/7/4,12.6,6.5,3.7,For general purpose,Mn-Zn,N27,"800 +30,-20%","0.4 (200mT, 100kHz, 100°C)",0.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_13_7_4.pdf,B66305G0040X127 (N27),Production,EPCOS,E(EE),E 13/7/4,12.6,6.5,3.7,For general purpose,Mn-Zn,N27,250 Nom.,,0.04,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_13_7_4.pdf,B66305G0500X127 (N27),Production,EPCOS,E(EE),E 13/7/4,12.6,6.5,3.7,For general purpose,Mn-Zn,N27,45 Nom.,,0.5,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_16_8_5.pdf,B66307G0000X127 (N27),Production,EPCOS,E(EE),E 16/8/5,16.0,8.2,4.7,For general purpose,Mn-Zn,N27,"950 +30,-20%","0.14 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_16_8_5.pdf,B66307G0060X127 (N27),Production,EPCOS,E(EE),E 16/8/5,16.0,8.2,4.7,For general purpose,Mn-Zn,N27,303 Nom.,,0.06,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_16_8_5.pdf,B66307G0100X127 (N27),Production,EPCOS,E(EE),E 16/8/5,16.0,8.2,4.7,For general purpose,Mn-Zn,N27,212 Nom.,,0.1,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_16_8_5.pdf,B66307G0240X127 (N27),Production,EPCOS,E(EE),E 16/8/5,16.0,8.2,4.7,For general purpose,Mn-Zn,N27,110 Nom.,,0.24,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_16_8_5.pdf,B66307G0500X127 (N27),Production,EPCOS,E(EE),E 16/8/5,16.0,8.2,4.7,For general purpose,Mn-Zn,N27,69 Nom.,,0.5,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_20_10_11.pdf,B66310G0000X127 (N27),Production,EPCOS,E(EE),E 20/10/11,20.4,10.1,11.0,For general purpose,Mn-Zn,N27,"2300 +30,-20%","0.52 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G0000X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,"1300 +30,-20%","0.27 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G0090X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,363 Nom.,,0.09,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G0100X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,345 Nom.,,0.1,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G0150X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,250 Nom.,,0.15,2000,410 (100°C),,220
