Catalog / Data Sheet,Part No.,Status,Brand,Core Shape,Size (IEC62317) A x B x C,Dimm. A,Dimm. B,Dimm. C,Feature,Ferrite Material,Material Name,AL Value / (nH / N²),Core Loss / (W / set),Air Gap / mm,Initial Permeability μi,Saturation Magnetic Flux Density Bs / mT,Relative Loss Factor (Max.) (tanδ / μi) 10⁻⁶,Curie Temperature Tc(Min.) / °C,material_name,core_shape,A_L_clean,A_L_H_per_turn2,B_s_clean,B_s_T,gap_clean,gap_m,mu_i,Sigma_l_over_A_mm_inv,le_m,Ae_m2,Ve_m3
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_14_8_4.pdf,B66219G0000X127 (N27),Production,EPCOS,E(EE),E 14/8/4,14.3,7.8,4.3,For general purpose,Mn-Zn,N27,"860 +30,-20%","0.11 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(EE),860,8.6e-07,410,0.41000000000000003,0.0,0.0,2000,,0.0339,1.55e-05,5.250000000000001e-07
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_32_16_9.pdf,B66229G0000X127 (N27),Production,EPCOS,E(EE),E 32/16/9,32.0,16.4,9.5,For general purpose,Mn-Zn,N27,"2100 +30,-20%","1.1 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(EE),2100,2.1000000000000002e-06,410,0.41000000000000003,0.0,0.0,2000,,0.074,8.3e-05,6.1400000000000005e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_32_16_9.pdf,B66229G0500X127 (N27),Production,EPCOS,E(EE),E 32/16/9,32.0,16.4,9.5,For general purpose,Mn-Zn,N27,244 Nom.,,0.5,2000,410 (100°C),,220,N27,E(EE),244,2.44e-07,410,0.41000000000000003,0.5,0.0005,2000,,0.074,8.3e-05,6.1400000000000005e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_32_16_9.pdf,B66229G1000X127 (N27),Production,EPCOS,E(EE),E 32/16/9,32.0,16.4,9.5,For general purpose,Mn-Zn,N27,145 Nom.,,1.0,2000,410 (100°C),,220,N27,E(EE),145,1.4500000000000001e-07,410,0.41000000000000003,1.0,0.001,2000,,0.074,8.3e-05,6.1400000000000005e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_13_7_4.pdf,B66305G0000X127 (N27),Production,EPCOS,E(EE),E 13/7/4,12.6,6.5,3.7,For general purpose,Mn-Zn,N27,"800 +30,-20%","0.4 (200mT, 100kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(EE),800,8.000000000000001e-07,410,0.41000000000000003,0.0,0.0,2000,,0.0296,1.24e-05,3.6700000000000004e-07
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_13_7_4.pdf,B66305G0040X127 (N27),Production,EPCOS,E(EE),E 13/7/4,12.6,6.5,3.7,For general purpose,Mn-Zn,N27,250 Nom.,,0.04,2000,410 (100°C),,220,N27,E(EE),250,2.5000000000000004e-07,410,0.41000000000000003,0.04,4e-05,2000,,0.0296,1.24e-05,3.6700000000000004e-07
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_13_7_4.pdf,B66305G0500X127 (N27),Production,EPCOS,E(EE),E 13/7/4,12.6,6.5,3.7,For general purpose,Mn-Zn,N27,45 Nom.,,0.5,2000,410 (100°C),,220,N27,E(EE),45,4.5000000000000006e-08,410,0.41000000000000003,0.5,0.0005,2000,,0.0296,1.24e-05,3.6700000000000004e-07
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_16_8_5.pdf,B66307G0000X127 (N27),Production,EPCOS,E(EE),E 16/8/5,16.0,8.2,4.7,For general purpose,Mn-Zn,N27,"950 +30,-20%","0.14 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(EE),950,9.5e-07,410,0.41000000000000003,0.0,0.0,2000,,0.0376,2.01e-05,7.56e-07
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_16_8_5.pdf,B66307G0060X127 (N27),Production,EPCOS,E(EE),E 16/8/5,16.0,8.2,4.7,For general purpose,Mn-Zn,N27,303 Nom.,,0.06,2000,410 (100°C),,220,N27,E(EE),303,3.03e-07,410,0.41000000000000003,0.06,6e-05,2000,,0.0376,2.01e-05,7.56e-07
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_16_8_5.pdf,B66307G0100X127 (N27),Production,EPCOS,E(EE),E 16/8/5,16.0,8.2,4.7,For general purpose,Mn-Zn,N27,212 Nom.,,0.1,2000,410 (100°C),,220,N27,E(EE),212,2.1200000000000002e-07,410,0.41000000000000003,0.1,0.0001,2000,,0.0376,2.01e-05,7.56e-07
