#Parameters = {Screw_L=1.5e-08}
#"Frequency / Hz"	"Z5,5 [SPara1] [Magnitude / Ohm]"
#--------------------------------------------------
9000.0000000000	353.75910849858
9105.1743636694	360.99793579153
9211.5777992026	368.46877168254
9319.2246695829	376.23109828487
9428.1295056402	384.21110366819
9538.3070080123	392.55773017649
9649.7720491291	401.15932429462
9762.5396752205	410.13166797365
9876.6251083470	419.48216653806
9992.0437484550	429.22225677406
10108.811175455	439.27667084072
10226.943151325	449.77229617867
10346.455622239	460.73903109414
10467.364720717	472.19750814589
10589.686767806	484.11761034409
10713.438275280	496.62012325106
10838.635947870	509.69242233839
10965.296685521	523.37300184232
11093.437585671	537.71155620345
11223.075945558	552.79906483986
11354.229264556	568.64453717814
11486.915246540	585.34474890914
11621.151802271	602.83875733706
11756.957051817	621.42683875906
11894.349326996	641.01214685044
12033.347173855	661.71586898117
12173.969355169	683.62537416984
12316.234852976	706.94427477805
12460.162871138	731.68388017334
12605.772837937	758.01025598983
12753.084408692	786.12902296918
12902.117468415	816.06545283460
13052.892134496	848.15010995061
13205.428759417	882.48390298820
13359.747933501	919.38627823374
13515.870487689	958.94944826767
13673.817496353	1001.5871548214
13833.610280143	1047.5421177528
13995.270408862	1097.1075728958
14158.819704376	1150.5921688820
14324.280243567	1208.3827488987
14491.674361305	1270.7628351548
14661.024653467	1337.9607890816
14832.353979986	1410.2075290600
15005.685467937	1487.6031289865
15181.042514661	1569.9221112414
15358.448790919	1656.5131409948
15537.928244089	1746.4272901371
15719.505101402	1837.8286716908
15903.203873206	1927.8660402176
16089.049356280	2013.0379270997
16277.066637180	2088.7037990788
16467.281095621	2149.5585288063
16659.718407909	2191.1077341821
16854.404550405	2209.0267569412
17051.365803030	2201.7284985257
17250.628752810	2169.7573134481
17452.220297474	2116.4206673949
17656.167649075	2046.2004604979
17862.498337667	1964.2302276238
18071.240215024	1875.4923726545
18282.421458394	1784.0495473111
18496.070574308	1692.8432436174
18712.216402423	1604.3569710361
18930.888119420	1519.7968247923
19152.115242938	1440.0027894149
19375.927635560	1365.3342632647
19602.355508846	1295.6800872317
19831.429427409	1231.0540322784
20063.180313040	1171.1867414932
20297.639448886	1115.7406425773
20534.838483666	1064.3907023799
20774.809435952	1016.8168259341
21017.584698484	972.69561852325
21263.197042543	931.72702552842
21511.679622379	893.63507429887
21763.065979684	858.15579258877
22017.390048118	825.06573623479
22274.686157893	794.16417013015
22534.989040403	765.23499447183
22798.333832917	738.11953546946
23064.756083317	712.65885907317
23334.291754901	688.71640456741
23606.977231234	666.17092958974
23882.849321062	644.90658442418
24161.945263280	624.81902961779
24444.302731955	605.81869177108
24729.959841419	587.82089808569
25018.955151407	570.75234404268
25311.327672265	554.54272659051
25607.116870216	539.13018606175
25906.362672687	524.45896126188
26209.105473697	510.47546763277
26515.386139313	497.13466766416
26825.246013163	484.39388109986
27138.726922019	472.21143149782
27455.871181444	460.55319836637
27776.721601499	449.38672674939
28101.321492528	438.67883062101
28429.714671000	428.40470669848
28761.945465425	418.53637129152
29098.058722339	409.05025778502
29438.099812354	399.92543509870
29782.114636288	391.14122812109
30130.149631355	382.67771397054
30482.251777437	374.51762063972
30838.468603426	366.64527768205
31198.848193638	359.04457140498
31563.439194303	351.70288527479
31932.290820134	344.60494903773
32305.452860969	337.73956067858
32682.975688492	331.09543389035
33064.910263032	324.66228812115
33451.308140444	318.42987220748
33842.221479064	312.38760902328
34237.703046755	306.52713630704
34637.806228027	300.84098070521
35042.585031242	295.31953684845
35452.094095908	289.95783734252
35866.388700051	284.74747691306
36285.524767678	279.68235159744
36709.558876329	274.75580739990
37138.548264707	269.96282382130
37572.550840412	265.29716403909
38011.625187754	260.75496429683
38455.830575661	256.32993950522
38905.226965680	252.01753623138
39359.875020073	247.81419709728
39819.836110000	243.71525021796
40285.172323810	239.71694953284
40755.946475418	235.81530128795
41232.222112784	232.00665057441
41714.063526494	228.28820982761
42201.535758435	224.65666576687
42694.704610575	221.10802969045
43193.636653850	217.64018210271
43698.399237143	214.25110078348
44209.060496381	210.93614282469
44725.689363729	207.69477478038
45248.355576896	204.52333969617
45777.129688551	201.41982102764
46312.083075840	198.38281012840
46853.287950030	195.40822283188
47400.817366248	192.49584090581
47954.745233349	189.64362324700
48515.146323888	186.84920951603
49082.096284215	184.11078966819
49655.671644687	181.42681631213
50235.949830000	178.79690432884
50823.009169633	176.21672881489
51416.928908431	173.68718297237
52017.789217295	171.20548099251
52625.671204009	168.77101567256
53240.656924182	166.38290492943
53862.829392331	164.03867394240
54492.272593084	161.73789605454
55129.071492515	159.47923058161
55773.312049616	157.26151208640
56425.081227900	155.08368618275
57084.467007138	152.94471541189
57751.558395236	150.84364315275
58426.445440252	148.77916502360
59109.219242546	146.75057433245
59799.971967083	144.75717187480
