!Siglent Technologies,SNA5002A,SNA5XCED6R0121,V1.0.0.2.13
!Date: 2026-01-30 16:16:31
!Channel 1
!Trace1
Frequency,S11(DB),S11(DEG)
9.000000000000e+03,5.015370828601e+01,8.142163319329e+01
9.005229747562e+03,5.034519156969e+01,8.146625348194e+01
9.010462534041e+03,5.049727052275e+01,8.172908497725e+01
9.015698361204e+03,5.043547008086e+01,8.199052427049e+01
9.020937230818e+03,5.033667725740e+01,8.182216409177e+01
9.026179144650e+03,5.031542108649e+01,8.166612983961e+01
9.031424104469e+03,5.026504027602e+01,8.105343838772e+01
9.036672112046e+03,5.035487514645e+01,8.128792428986e+01
9.041923169151e+03,5.034069614491e+01,8.116946067184e+01
9.047177277556e+03,5.030687519149e+01,8.122499743464e+01
9.052434439035e+03,5.025483937298e+01,8.122484095492e+01
9.057694655361e+03,5.032793265487e+01,8.220297212735e+01
9.062957928310e+03,5.025652340016e+01,8.143423785596e+01
9.068224259657e+03,5.023109989195e+01,8.165446066037e+01
9.073493651181e+03,5.033145481674e+01,8.153976802825e+01
9.078766104659e+03,5.062122840726e+01,8.141448485612e+01
9.084041621870e+03,5.069547371471e+01,8.101731451729e+01
9.089320204595e+03,5.026646979652e+01,8.066257834189e+01
9.094601854614e+03,5.075147484574e+01,8.116323310590e+01
9.099886573712e+03,5.088157804109e+01,8.062964995050e+01
9.105174363669e+03,5.039093043950e+01,8.111944562034e+01
9.110465226273e+03,5.041163753139e+01,8.131266087994e+01
9.115759163306e+03,5.035596351734e+01,8.150450831182e+01
9.121056176557e+03,5.033003735143e+01,8.144522979490e+01
9.126356267813e+03,5.037856815362e+01,8.146254472441e+01
9.131659438862e+03,5.036517089745e+01,8.135558325172e+01
9.136965691493e+03,5.033829223001e+01,8.143129792049e+01
9.142275027499e+03,5.031335489001e+01,8.175746070273e+01
9.147587448669e+03,5.040395391742e+01,8.172925281304e+01
9.152902956797e+03,5.031817707292e+01,8.155283268465e+01
9.158221553678e+03,5.041424139610e+01,8.211269062751e+01
9.163543241104e+03,5.109257455614e+01,7.722540497010e+01
9.168868020874e+03,5.104323117480e+01,7.707886562741e+01
9.174195894782e+03,5.041307496936e+01,8.230693806109e+01
9.179526864628e+03,5.031427194798e+01,8.212667441584e+01
9.184860932210e+03,5.042406982482e+01,8.210608379836e+01
9.190198099328e+03,5.044415848812e+01,8.178079892095e+01
9.195538367784e+03,5.047759009746e+01,8.180242163563e+01
9.200881739379e+03,5.043896343999e+01,8.190591486831e+01
9.206228215918e+03,5.046819482711e+01,8.224023859641e+01
9.211577799203e+03,5.043432413909e+01,8.227230493602e+01
9.216930491040e+03,5.046695352666e+01,8.207075470026e+01
9.222286293236e+03,5.053665703508e+01,8.250616923617e+01
9.227645207597e+03,5.052985375401e+01,8.281800687910e+01
9.233007235934e+03,5.048719521057e+01,8.263383953562e+01
9.238372380054e+03,5.050789353936e+01,8.261725816783e+01
9.243740641768e+03,5.058102561852e+01,8.224914051941e+01
9.249112022888e+03,5.052013702384e+01,8.299107834692e+01
9.254486525227e+03,5.056020864154e+01,8.299749653146e+01
9.259864150598e+03,5.063554264679e+01,8.248211525335e+01
9.265244900817e+03,5.079619769782e+01,7.863720881709e+01
9.270628777698e+03,5.076150331785e+01,7.835979901965e+01
9.276015783058e+03,5.065129282830e+01,8.293872803878e+01
9.281405918717e+03,5.014620855439e+01,7.546950263450e+01
9.286799186492e+03,5.006595125348e+01,7.558359458807e+01
9.292195588203e+03,5.137588638696e+01,8.642750821192e+01
9.297595125672e+03,5.134183949478e+01,8.547064950507e+01
9.302997800721e+03,5.073663955882e+01,8.238736688145e+01
9.308403615172e+03,5.086277216565e+01,8.321375888564e+01
9.313812570851e+03,5.084207109413e+01,8.284982118094e+01
9.319224669583e+03,5.083815064768e+01,8.329408185579e+01
9.324639913193e+03,5.091069950418e+01,8.305282249447e+01
9.330058303510e+03,5.155895335354e+01,8.482084963692e+01
9.335479842362e+03,5.159505726926e+01,8.546496360830e+01
9.340904531577e+03,5.094151769048e+01,8.289624011790e+01
9.346332372988e+03,5.164968056832e+01,8.289067491279e+01
9.351763368426e+03,5.160586113304e+01,8.194319771698e+01
9.357197519723e+03,5.164574903993e+01,8.263812708462e+01
