!Siglent Technologies,SNA5002A,SNA5XCED6R0121,V1.0.0.2.13
!Date: 2026-01-30 14:13:45
!Channel 1
!Trace1
Frequency,S11(DB),S11(DEG)
9.000000000000e+03,2.186702989676e+01,8.841947751424e+01
9.005229747562e+03,2.171998579998e+01,8.769181743763e+01
9.010462534041e+03,2.176354787708e+01,8.771225043412e+01
9.015698361204e+03,2.183114536535e+01,8.840942999308e+01
9.020937230818e+03,2.184813554061e+01,8.843824576092e+01
9.026179144650e+03,2.180212098205e+01,8.795132981646e+01
9.031424104469e+03,2.182394589579e+01,8.783686138488e+01
9.036672112046e+03,2.184101928570e+01,8.784143704589e+01
9.041923169151e+03,2.185010466895e+01,8.790891019966e+01
9.047177277556e+03,2.187737228529e+01,8.805855457681e+01
9.052434439035e+03,2.187182385981e+01,8.785766862663e+01
9.057694655361e+03,2.188259845594e+01,8.789433737680e+01
9.062957928310e+03,2.190948616170e+01,8.789953063261e+01
9.068224259657e+03,2.190673171697e+01,8.792266876769e+01
9.073493651181e+03,2.192277197553e+01,8.797403114535e+01
9.078766104659e+03,2.195142579142e+01,8.788385119887e+01
9.084041621870e+03,2.199925090664e+01,8.823883313995e+01
9.089320204595e+03,2.195299810652e+01,8.756800900968e+01
9.094601854614e+03,2.200411850599e+01,8.837303534156e+01
9.099886573712e+03,2.204593878395e+01,8.841755066718e+01
9.105174363669e+03,2.204399844773e+01,8.787569138061e+01
9.110465226273e+03,2.184034436258e+01,8.806585398499e+01
9.115759163306e+03,2.183351260113e+01,8.825718258420e+01
9.121056176557e+03,2.206146491957e+01,8.791114964162e+01
9.126356267813e+03,2.208037921759e+01,8.765475000310e+01
9.131659438862e+03,2.211477591399e+01,8.760495984979e+01
9.136965691493e+03,2.215116277888e+01,8.765045120894e+01
9.142275027499e+03,2.212837688414e+01,8.768927796322e+01
9.147587448669e+03,2.214299980273e+01,8.742650625735e+01
9.152902956797e+03,2.216219541590e+01,8.736267888116e+01
9.158221553678e+03,2.218415823329e+01,8.741619848867e+01
9.163543241104e+03,2.232268320254e+01,8.787994707253e+01
9.168868020874e+03,2.230218701667e+01,8.783767173626e+01
9.174195894782e+03,2.220097371361e+01,8.723333641183e+01
9.179526864628e+03,2.221713867616e+01,8.714529166803e+01
9.184860932210e+03,2.222896267469e+01,8.711452185981e+01
9.190198099328e+03,2.224728844556e+01,8.699016909750e+01
9.195538367784e+03,2.225596807440e+01,8.689763935115e+01
9.200881739379e+03,2.196322541638e+01,8.948641122550e+01
9.206228215918e+03,2.200006202967e+01,8.977306748877e+01
9.211577799203e+03,2.220617359177e+01,8.697110869671e+01
9.216930491040e+03,2.226485079374e+01,8.661084236660e+01
9.222286293236e+03,2.227870776630e+01,8.656690111305e+01
9.227645207597e+03,2.225757384234e+01,8.666710852942e+01
9.233007235934e+03,2.228144842980e+01,8.654478429718e+01
9.238372380054e+03,2.227164155903e+01,8.643886224997e+01
9.243740641768e+03,2.227361870151e+01,8.634070140949e+01
9.249112022888e+03,2.225553715978e+01,8.632452209921e+01
9.254486525227e+03,2.226935291022e+01,8.628347375464e+01
9.259864150598e+03,2.227805483988e+01,8.636185461591e+01
9.265244900817e+03,2.246888182264e+01,8.553594425100e+01
9.270628777698e+03,2.246685325023e+01,8.548833437963e+01
9.276015783058e+03,2.225415915635e+01,8.617222805282e+01
9.281405918717e+03,2.240967888545e+01,8.532767455486e+01
9.286799186492e+03,2.241265925171e+01,8.516102645845e+01
9.292195588203e+03,2.237204912764e+01,8.937647085466e+01
9.297595125672e+03,2.241702654836e+01,8.935620463250e+01
9.302997800721e+03,2.222186764169e+01,8.595585204974e+01
9.308403615172e+03,2.225190973582e+01,8.590419946765e+01
9.313812570851e+03,2.246536458194e+01,8.905070131353e+01
9.319224669583e+03,2.245328451060e+01,8.878514358596e+01
9.324639913193e+03,2.220298978887e+01,8.604785662671e+01
9.330058303510e+03,2.219533157544e+01,8.699448430967e+01
9.335479842362e+03,2.215972023674e+01,8.733100936101e+01
9.340904531577e+03,2.223793076466e+01,8.591746573375e+01
9.346332372988e+03,2.219702514576e+01,8.596864009983e+01
9.351763368426e+03,2.251404656352e+01,8.766630291485e+01
9.357197519723e+03,2.250793175750e+01,8.776220439360e+01
9.362634828714e+03,2.220770527020e+01,8.711076684257e+01
9.368075297232e+03,2.221149268382e+01,8.717720395681e+01
9.373518927115e+03,2.220430958204e+01,8.614018430274e+01
9.378965720199e+03,2.219129448153e+01,8.608761836669e+01
9.384415678322e+03,2.218911366604e+01,8.618350419700e+01
9.389868803323e+03,2.246775128125e+01,8.681182265018e+01
9.395325097043e+03,2.245714483922e+01,8.676466683954e+01
9.400784561323e+03,2.215585059766e+01,8.632439049820e+01
9.406247198005e+03,2.217260816740e+01,8.644083077381e+01
9.411713008933e+03,2.218995622915e+01,8.638324788681e+01
9.417181995951e+03,2.218648612102e+01,8.647319477975e+01
9.422654160904e+03,2.220640090004e+01,8.669363575071e+01
9.428129505640e+03,2.218416211235e+01,8.696272077473e+01
9.433608032006e+03,2.218741852196e+01,8.677879317436e+01
9.439089741851e+03,2.219662187958e+01,8.674482540256e+01
9.444574637025e+03,2.220836773991e+01,8.701266881803e+01
9.450062719378e+03,2.219738676953e+01,8.711020998883e+01
9.455553990763e+03,2.222155143996e+01,8.707909869804e+01
9.461048453033e+03,2.221339710640e+01,8.715092057667e+01
9.466546108042e+03,2.221489073194e+01,8.727652722674e+01
9.472046957645e+03,2.223134638084e+01,8.738482021670e+01
9.477551003698e+03,2.222843506287e+01,8.742256925003e+01
9.483058248060e+03,2.219465970611e+01,8.745126350463e+01
9.488568692588e+03,2.219355478509e+01,8.748450940571e+01
9.494082339142e+03,2.226684671968e+01,8.770017602609e+01
9.499599189582e+03,2.225786141650e+01,8.774844969206e+01
9.505119245771e+03,2.227598848558e+01,8.781747379768e+01
9.510642509571e+03,2.228969705422e+01,8.781382599441e+01
9.516168982846e+03,2.231395847498e+01,8.797511668841e+01
9.521698667461e+03,2.232733474760e+01,8.780829978391e+01
9.527231565282e+03,2.234844741910e+01,8.804044636623e+01
9.532767678176e+03,2.235660243311e+01,8.808022671694e+01
9.538307008012e+03,2.236681242749e+01,8.797852650872e+01
9.543849556659e+03,2.236106643415e+01,8.806911874568e+01
9.549395325986e+03,2.237647165895e+01,8.808936611107e+01
9.554944317867e+03,2.241055828498e+01,8.815262647439e+01
9.560496534172e+03,2.240569794119e+01,8.824681129864e+01
9.566051976777e+03,2.241463699360e+01,8.833608442233e+01
9.571610647554e+03,2.243439672487e+01,8.837119309942e+01
9.577172548382e+03,2.243191167665e+01,8.821160306508e+01
9.582737681136e+03,2.244838292394e+01,8.832089891966e+01
9.588306047694e+03,2.246866252925e+01,8.832827989558e+01
9.593877649935e+03,2.247234197294e+01,8.826085378477e+01
9.599452489741e+03,2.252001229302e+01,8.832574532690e+01
9.605030568991e+03,2.252601327276e+01,8.826284402736e+01
9.610611889569e+03,2.252047382616e+01,8.819550354700e+01
9.616196453357e+03,2.253000734364e+01,8.816885786123e+01
9.621784262241e+03,2.257356649894e+01,8.806389732593e+01
9.627375318106e+03,2.259716963497e+01,8.814481260972e+01
9.632969622839e+03,2.258092139278e+01,8.815709796669e+01
9.638567178328e+03,2.258599775204e+01,8.800702355686e+01
9.644167986461e+03,2.260910946811e+01,8.813906707021e+01
9.649772049129e+03,2.265101900284e+01,8.801350644654e+01
9.655379368223e+03,2.262216913988e+01,8.812057188292e+01
9.660989945635e+03,2.264255102096e+01,8.818722732014e+01
9.666603783259e+03,2.264549603869e+01,8.790553740945e+01
9.672220882988e+03,2.265913676318e+01,8.803077145617e+01
9.677841246719e+03,2.266849309727e+01,8.803669913618e+01
9.683464876349e+03,2.266243423128e+01,8.771471338465e+01
9.689091773774e+03,2.253396224773e+01,8.758143884539e+01
9.694721940894e+03,2.250048446264e+01,8.748834539343e+01
9.700355379609e+03,2.268551496339e+01,8.756298453781e+01
9.705992091819e+03,2.268069086385e+01,8.749362870288e+01
9.711632079428e+03,2.269455188724e+01,8.755616565881e+01
9.717275344337e+03,2.271727670663e+01,8.745006106965e+01
9.722921888453e+03,2.265393808823e+01,8.700996432990e+01
9.728571713680e+03,2.270877400045e+01,8.739704806674e+01
9.734224821924e+03,2.271568982177e+01,8.733268033170e+01
9.739881215094e+03,2.265369058364e+01,8.676566732340e+01
9.745540895098e+03,2.274566203361e+01,8.721306429688e+01
9.751203863846e+03,2.273424463483e+01,8.721295511980e+01
9.756870123250e+03,2.271887554189e+01,8.700637001639e+01
9.762539675220e+03,2.272608173706e+01,8.693418699446e+01
9.768212521672e+03,2.271192185504e+01,8.701201083059e+01
9.773888664518e+03,2.271739341088e+01,8.676802354794e+01
9.779568105675e+03,2.271594962450e+01,8.687618197943e+01
9.785250847059e+03,2.256064450579e+01,8.885444521643e+01
9.790936890588e+03,2.256705751960e+01,8.894515831114e+01
9.796626238180e+03,2.267918277970e+01,8.676154185098e+01
9.802318891756e+03,2.269706995709e+01,8.664992036703e+01
9.808014853237e+03,2.246487375140e+01,8.909147090640e+01
9.813714124544e+03,2.248022462622e+01,8.921178411245e+01
9.819416707601e+03,2.269637381524e+01,8.649072589234e+01
9.825122604333e+03,2.249947583746e+01,8.681631557527e+01
9.830831816664e+03,2.249718640785e+01,8.673202943113e+01
9.836544346522e+03,2.269187063669e+01,8.655220059190e+01
9.842260195835e+03,2.267967392936e+01,8.665866562383e+01
9.847979366531e+03,2.266196573315e+01,8.663803094166e+01
9.853701860540e+03,2.266751466875e+01,8.663175490439e+01
9.859427679793e+03,2.266479636666e+01,8.671370667765e+01
9.865156826223e+03,2.265134601067e+01,8.666345582283e+01
9.870889301763e+03,2.280880220887e+01,8.590586408186e+01
9.876625108347e+03,2.279313724433e+01,8.587745202913e+01
9.882364247911e+03,2.264938620965e+01,8.667146273014e+01
9.888106722392e+03,2.263023119612e+01,8.676525565240e+01
9.893852533728e+03,2.263197940233e+01,8.678864397586e+01
9.899601683858e+03,2.261032684835e+01,8.678309739173e+01
9.905354174721e+03,2.286148722681e+01,9.028691951607e+01
9.911110008259e+03,2.288561064307e+01,9.023621035460e+01
9.916869186415e+03,2.262269694369e+01,8.689163753582e+01
9.922631711131e+03,2.293285596787e+01,9.012048640284e+01
9.928397584353e+03,2.289656886736e+01,9.132382822840e+01
9.934166808026e+03,2.268376925818e+01,8.571255523720e+01
9.939939384098e+03,2.267933952570e+01,8.571418101698e+01
9.945715314515e+03,2.257732237610e+01,8.846974458509e+01
9.951494601228e+03,2.260698553606e+01,8.725556048515e+01
9.957277246187e+03,2.262780111094e+01,8.737902380851e+01
9.963063251342e+03,2.262563753731e+01,8.723577979352e+01
9.968852618648e+03,2.261105458315e+01,8.615088123137e+01
9.974645350056e+03,2.260664380189e+01,8.636469105798e+01
9.980441447523e+03,2.263328499644e+01,8.758712246244e+01
9.986240913003e+03,2.263017480781e+01,8.771392988869e+01
9.992043748455e+03,2.261756397091e+01,8.767771297536e+01
9.997849955836e+03,2.264384306451e+01,8.783221569138e+01
1.000365953711e+04,2.264732542085e+01,8.775319980977e+01
1.000947249423e+04,2.263979020069e+01,8.792017244103e+01
1.001528882916e+04,2.266478940471e+01,8.787770143803e+01
1.002110854386e+04,2.267917211278e+01,8.793647402069e+01
1.002693164030e+04,2.267653127084e+01,8.809636421451e+01
1.003275812045e+04,2.277957050221e+01,8.894972389593e+01
1.003858798626e+04,2.279844904795e+01,8.871954708745e+01
